ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Electoral Districts (Included),Electoral Districts (Excluded),Radius Targeting (Included),Radius Targeting (Excluded),Metros (Included),Metros (Excluded),Postal Codes (Included),Postal Codes (Excluded),Location Categories (Included),Location Categories (Excluded),Interests,OsType,Segments,Language,AdvancedDemographics,Targeting Connection Type,Targeting Carrier (ISP),CreativeProperties
e91d4708de782647aecaf4d586cd873f33de3b25e6102c47662c93fabfbe8daa,https://www.snap.com/political-ads/asset/8d3bdab0c964991dab274562f4858b7b2757e868d48112fc4743566afbfd8c3a?mediaType=jpg,USD,1,1210,2020/01/22 02:34:27Z,,"D-Squared Commerce, LLC",US,PrezzyFlipFlops,"D-Squared Commerce, LLC",,18-35,united states,,,,,,,,,,,,,Collegiates,,Provided by Advertiser,,,,,web_view_url:https://prezzyflipflops.com/
baf58ea3bd15f2a1c6b0b259ece25124723807b810e51b3aa31cdeb28fb96d45,https://www.snap.com/political-ads/asset/2bd76e3379c48a43e69a93c9e1566a018e0754d522b5bac0485a42ca321c7a9a?mediaType=mp4,USD,527,230600,2020/01/08 15:00:00Z,2020/04/01 03:59:59Z,Assembly," 711 3rd Ave, New York, NY 10017,new york city,10017,US",,truth,,18-24,united states,,,,,,,,,,,,,,,,en,,,,web_view_url:https://pages.thetruth.com/ditch-juul-snap-ad?cid=social_asm_snapchat_ditchjuul_bellyflop_leadgen_snapads_6_1824
b5f2b46944c4a8344664ad1047e142a287b8c7996d3d6ca92973a1d7200359e2,https://www.snap.com/political-ads/asset/a819f2dd85a560711c81ea0639694f466bfbad6ca62800429196a4967f62be90?mediaType=mp4;https://www.snap.com/political-ads/asset/b3432b9e5bedf075171b61c204c9a33524de01415700eccad19125712aae5535?mediaType=mp4;https://www.snap.com/political-ads/asset/c2ac805f0d06cd30b1f0f879315a475f2485f60f41b215b0517c9f0616151943?mediaType=mp4;https://www.snap.com/political-ads/asset/4cc6e0f896f8541d518608602907c8ba252ba2059c370596bdafcea153a4cbd2?mediaType=mp4;https://www.snap.com/political-ads/asset/e748bf0cc48a9b91e991fe06c3cea9b447bf442a27c2132f2c421afb8e439ceb?mediaType=mp4;https://www.snap.com/political-ads/asset/06e55563794921414898a6cc21d0c0176b72ad8205caf8f8a2d59b482b99baf4?mediaType=mp4;https://www.snap.com/political-ads/asset/a8e242225c4c4f827b163ffbc3c838ade65b991471f8c1c0d0cd273b3096b92f?mediaType=mp4;https://www.snap.com/political-ads/asset/662ea5cdfd85d94f2ef1583471245f6f2b4732b9c2133f371639f8da94680a7e?mediaType=mp4;https://www.snap.com/political-ads/asset/23e33c8bd394166d15f7ecf1612b8500491a2c7b90e8bb2062c2b33b3e6cb90b?mediaType=mp4;https://www.snap.com/political-ads/asset/a2d5cd5d009e068bbb0fbb90cf13d6e574b7ea4f70e1ccc366b10ee33a179f81?mediaType=mp4;https://www.snap.com/political-ads/asset/c8eb0ee0178b0238eb0fbd4dd2191a2a0bdd4da7e4a83058191565eff7aaf1e8?mediaType=mp4,EUR,999,2138683,2020/01/07 16:48:35Z,2020/01/19 22:59:59Z,Næringslivets Hovedorganisasjon,"Middelthuns gate 27,Oslo,0368,NO",,Næringslivets Hovedorganisasjon,,31+,norway,,,,,,,,,,,,,,,Provided by Advertiser,,,,,
e843566ee9534bc207da5623f6c08a7b8ab37a010ce9d134569d1f39f8e73f1f,https://www.snap.com/political-ads/asset/ceda1ba0fdec3fd994d2e8ea057596992f912ad9c8f5b1c992335e13954a4045?mediaType=mp4,USD,78,46441,2020/01/03 16:24:16Z,2020/02/12 04:59:16Z,Pete for America,"202 S Michigan St,South Bend,46601,US","Pete for America ",Pete for America,,17+,united states,New Hampshire,,,,,,,,,,,,,,,,,,,web_view_url:https://peteforamerica.com/health-care?utm_source=snapchat&utm_medium=video&utm_campaign=m4awwi&utm_content=countable_15s
83f864bd5e118523ee95dca1fdf5eb3c767e4fd6187ce42e396a76301a41e514,https://www.snap.com/political-ads/asset/26fd1e7539911aaf5c3472a3c21629c48b4e74b80041f98da4f682fb79eb88bf?mediaType=mp4,EUR,1,2306,2020/01/17 12:31:03Z,,SpunOut.ie,"Sean McBride House, 48 Fleet Street,,Dublin 2,D02 T883,IE",,SpunOut.ie,,16-25,ireland,"Clare,Cork,Kerry,Limerick",,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://spunout.ie/news/article/spunout-recruiting-members-action-panels?utm_source=snapchat&utm_medium=social&utm_campaign=ap_recruitment
85e1596c6eddcaccd2b8228bf53405531031c66e4382abfa7d8d57d7d4746b70,https://www.snap.com/political-ads/asset/c8f61e947227f82bae8664897368afd6e9b7bd1e0456cfdd42b2362894ea1278?mediaType=jpeg,USD,0,376,2020/01/14 18:02:19Z,,Marud Khan,US,Donald Trump,Albbiom Marketing LLC,,,united states,,Alaska,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://www.patrioticamerican1776.com/patriot/v6/
8c09af5db99f30713a066056b85bf9d5ad99657c902abf1b59b6b579d3f0c247,https://www.snap.com/political-ads/asset/587a9d1fea2d6c0f317ee09f70d26df6b979d40ffc27619bb1e9744f669e75c2?mediaType=mp4,EUR,606,236143,2020/01/08 08:46:31Z,2020/01/25 22:59:59Z,Næringslivets Hovedorganisasjon,"Middelthuns gate 27,Oslo,0368,NO",,Næringslivets Hovedorganisasjon,,18-30,norway,,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://www.nho.no/arskonferansen-2020/tema/neste-trekk/
c166383bd7bf48a2d706e9ed4eaf494f37d1f3326c379708432718a359bf37ab,https://www.snap.com/political-ads/asset/d702c0693d46c2577b493cf0ecd1d17b76699d91097d6c42fdd7ec0108c78195?mediaType=png,USD,65,18274,2019/11/19 17:10:56Z,2020/02/01 04:59:59Z,OpAD Media,"275 Madison Avenue, Suite 2200,New York ,10016,US",,NY State of Health,,18-34,united states,New York,,,,,,,,,,,,,,Provided by Advertiser,en,HHI: <50k,,,web_view_url:https://nystateofhealth.ny.gov/?utm_medium=EN_18-34_LH_REACH_ALL&utm_source=Snapchat&utm_campaign=OpenEnrollment2020
b0f0963db3e360b739243ef3b9e0897bdb630bc70e42a6320878814eba52c457,https://www.snap.com/political-ads/asset/4ed228ffec10a417d98e194b16f153efc6f213030d30137e159456858a47e757?mediaType=mov,USD,1036,603125,2020/01/06 14:40:00Z,2020/02/01 04:59:59Z,R/GA,"450 W 33rd St,New York,10001,US",,Planned Parenthood,,17-,united states,,,,,,,,,,,,,,,,,,,,web_view_url:https://roo.plannedparenthood.org?utm_source=Snapchat&utm_medium=PaidSocial&utm_term=Video_FirstTime_6s&utm_content=Traffic_Roo_13to17All&utm_campaign=PPRoo_TrafficFlight1_RooExtension
bc288da4b95da360dd0df547523afd4b4e160f64b049f3abbd4489efe5c06da4,https://www.snap.com/political-ads/asset/3dafe7a419cf27e2b7251d0521ce69b222b4289b72ed1a372a53ee6ff553a029?mediaType=png,USD,3,2080,2020/01/20 18:15:47Z,,RxB Marketing Agency,"4850 Libby Court,North Port,34287,US",,Unicorn Wealth,,21+,united states,,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://www.gu-ecom.com/i/J687RSN/2175MQG/?sub1=snp
